index,temporal_dependency,parallel_activity_ratio,long_term_dependencies,activity_appearance_rate,unique_paths_ratio
0 - 100,0.5612029825701029,0.2594417077175698,0.39722222222222225,1.875,0.5
100 - 200,0.42751125328907313,0.16440049443757726,0.5695844385499557,0.8571428571428571,1.0
200 - 300,0.4801316169164473,0.115,0.5127164502164502,0.0,1.0
300 - 400,0.35508330040432884,0.01021209740769835,0.8427434634331187,0.0,1.0
400 - 500,0.4555242495732451,0.006464646464646465,0.8619999999999999,0.0,1.0
500 - 600,0.42884488478562277,0.005454545454545455,0.8628571428571429,0.0,1.0
600 - 700,0.4943143928917701,0.022527682321496753,0.5988273988273989,0.0,1.0
700 - 800,0.4524633953376726,0.020808323329331732,0.5977893995029859,0.0,1.0
800 - 900,0.4546184830132699,0.006868686868686869,0.9019999999999999,0.0,1.0
900 - 1000,0.4430890899569465,0.021000381825124093,0.6038896038896039,0.0,1.0
1000 - 1100,0.48698561590215383,0.025059665871121718,0.6049078635285531,0.0,1.0
1100 - 1200,0.23822387332660594,0.03041307308216069,0.5514100423903665,0.0,1.0
1200 - 1300,0.464062094032518,0.009696969696969697,0.8123076923076922,0.0,1.0
1300 - 1400,0.4279954212175694,0.07787903893951947,0.5914285714285714,0.0,1.0
1400 - 1500,0.3943335107603566,0.04790419161676647,0.4983164983164983,0.0,1.0
1500 - 1600,0.3995094478922824,0.21843971631205675,0.34744268077601403,0.0,0.7142857142857143
1600 - 1700,0.321625963474551,0.08850289495450786,0.7802721088435373,0.0,0.8333333333333334
1700 - 1800,0.42132897922693535,0.1695906432748538,0.5795454545454546,0.0,0.7142857142857143
1800 - 1900,0.3524628569594718,0.12,0.5707317073170732,0.0,0.8571428571428571
1900 - 2000,0.3152178791220746,0.0056565656565656566,0.70375,0.0,1.0
2000 - 2100,0.3598237448345823,0.0048484848484848485,0.9083333333333333,0.0,1.0
2100 - 2200,0.3540584247751736,0.118,0.7621621621621621,0.0,0.8571428571428571
2200 - 2300,0.5467979922678395,0.16149068322981366,0.6026960784313726,0.3333333333333333,1.0
2300 - 2400,0.7190428317170307,0.016472478907191643,0.7621281943862589,0.0,1.0
2400 - 2500,0.30459312550946294,0.018798254447801276,0.65569995706982,0.0,1.0
2500 - 2600,0.32525698080895526,0.015513126491646777,0.6131276467029642,0.0,1.0
2600 - 2700,0.6621724169543579,0.02280373831775701,0.7512820512820514,0.0,1.0
